,Company,"Street, no., building etc, line 1",City,Country,"NACE Rev. 2
Core code (4 digits)","Operating
revenue
(Turnover)
m EUR
2017","Operating
revenue
(Turnover)
m EUR
2016","Operating
revenue
(Turnover)
m EUR
2015","Operating
revenue
(Turnover)
m EUR
2014","Operating
revenue
(Turnover)
m EUR
2013","Operating
revenue
(Turnover)
m EUR
2012","Operating
revenue
(Turnover)
m EUR
2011","Operating
revenue
(Turnover)
m EUR
2010","Operating
revenue
(Turnover)
m EUR
2009","Operating
revenue
(Turnover)
m EUR
2008","Number of employees
2017","Number of employees
2016","Number of employees
2015","Number of employees
2014","Number of employees
2013","Number of employees
2012","Number of employees
2011","Number of employees
2010","Number of employees
2009","Number of employees
2008"
252.,Honeywell Specialty Chemicals Seelze GmbH,WUNSTORFER STR. 40,SEELZE,Germany,2014,n.a.,n.a.,183,176,177,193,197,189,140,188,n.a.,n.a.,582,581,587,622,638,634,656,689
326.,HSP Hoesch Spundwand und Profil Gesellschaft mit beschränkter Haftung,ALTE RADSTR. 27,DORTMUND,Germany,2410,n.a.,n.a.,102,147,167,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,379,443,439,n.a.,n.a.,n.a.,n.a.,n.a.
58.,Hüttenwerke Krupp Mannesmann GmbH,EHINGER STR. 200,DUISBURG,Germany,2410,n.a.,"1,856","2,034","2,433","2,513","2,797","3,116","2,597","1,622","2,642",n.a.,"3,054","3,088","3,076","2,984","2,969","2,962","2,952","3,034","3,029"
918.,Huhtamaki Flexible Packaging Germany GmbH & Co. KG,HEINRICH-NICOLAUS-STR. 6,RONSBERG,Germany,1729,n.a.,n.a.,368,360,600,590,570,580,n.a.,n.a.,n.a.,"1,050","1,200","1,200","2,000","2,000","2,200","2,200",n.a.,n.a.
105.,Huntsman P&A Germany GmbH,DR.-RUDOLF-SACHTLEBEN-STR. 4,DUISBURG,Germany,2013,n.a.,n.a.,738,n.a.,796,676,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"1,021",n.a.,"1,088","1,058",n.a.,n.a.,n.a.,n.a.
289.,Huntsman P&A Uerdingen GmbH,RHEINUFERSTR. 7 9,KREFELD,Germany,2059,n.a.,n.a.,128,158,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,454,502,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
342.,Hydro Aluminium Gießerei Rackwitz GmbH,AUGUST-HORCH-STR. 2,RACKWITZ,Germany,2599,n.a.,95,97,91,80,80,91,87,66,n.a.,n.a.,54,54,52,51,51,52,52,43,n.a.
52.,Hydro Aluminium Rolled Products GmbH,ALUMINIUMSTR. 1,GREVENBROICH,Germany,2442,n.a.,"2,106","2,310","2,191","2,198","2,284","2,432","2,237",n.a.,n.a.,n.a.,"3,325","3,250","3,193","3,219","3,271","3,333","3,308",n.a.,n.a.
680.,I. van Roje & Sohn Sägewerk und Holzhandlung GmbH & Co. KG,IGNATZ-VAN-ROJE-PLATZ 1,OBERHONNEFELD-GIEREND,Germany,1610,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,111,107,114,109,99,n.a.,99,99
245.,ifm traviation gmbh,Friedrichstr. 1,Essen,Germany,7900,n.a.,n.a.,3,3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,7,7,5,5,5,5,n.a.,n.a.
82.,iglo GmbH,Osterbekstr. 90 c,Hamburg,Germany,1085,n.a.,n.a.,288,313,329,339,340,335,325,327,n.a.,n.a.,550,581,615,556,563,561,627,577
915.,Ignaz Schiele Ziegelei e.K.,,,Germany,2332,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2,2,n.a.,n.a.,n.a.,1,n.a.,n.a.,n.a.,16,16,16,n.a.
685.,IHKW Industrieheizkraftwerk Andernach GmbH,KOBLENZER STR. 141,ANDERNACH,Germany,3511,n.a.,n.a.,n.a.,n.a.,18,18,19,18,17,n.a.,n.a.,n.a.,n.a.,24,24,23,23,24,24,n.a.
170.,Ilim Nordic Timber GmbH & Co. KG,AM HAFFELD 2,WISMAR,Germany,1610,n.a.,n.a.,381,357,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,622,575,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
292.,Ilim Timber Bavaria GmbH,FRANZ-KOLLMANN-STR. 5,LANDSBERG,Germany,1610,n.a.,n.a.,130,125,111,96,89,n.a.,n.a.,n.a.,n.a.,n.a.,206,203,189,183,185,n.a.,n.a.,n.a.
721.,ILMABORGLASS GMBH,CHRISTIAN-HOEFER-RING 54,SELB,Germany,2310,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,93,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
809.,Ilsenburger Grobblech GmbH,VECKENSTEDTER WEG 10,ILSENBURG,Germany,2410,n.a.,n.a.,n.a.,n.a.,n.a.,668,737,n.a.,n.a.,n.a.,860,860,860,860,860,810,n.a.,n.a.,n.a.,n.a.
532.,Industriekraftwerk Greifswald GmbH,KOENIGSTOR 20,KASSEL,Germany,3522,n.a.,n.a.,4,3,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2,2,2,n.a.,n.a.,n.a.,n.a.,n.a.
629.,Industriepark Nienburg GmbH,GROSSE DRAKENBURGER STR. 93 -97,NIENBURG,Germany,6820,n.a.,n.a.,n.a.,n.a.,21,20,20,18,13,18,n.a.,n.a.,45,45,43,43,43,41,52,51
671.,Industriepark Troisdorf GmbH,POSTSTR. 105,TROISDORF,Germany,8299,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,18,22,24,28,n.a.,10,10,9,9,12,n.a.,n.a.,n.a.,n.a.
68.,INEOS Köln GmbH,ALTE STR. 201,KOELN,Germany,1920,n.a.,n.a.,"1,501","1,694","1,726","1,922","2,281","2,030","1,336","1,900",n.a.,n.a.,"1,975","1,940","1,916","1,845","1,797","1,767","1,878","1,945"
390.,INEOS Paraform GmbH & Co. KG,HAUPTSTR. 30,MAINZ,Germany,2059,n.a.,n.a.,65,68,69,62,61,56,69,69,n.a.,n.a.,137,140,144,146,144,143,149,157
314.,INEOS Phenol GmbH,DECHENSTR. 3,GLADBECK,Germany,2060,n.a.,114,126,124,127,165,"2,091","1,791","1,029","1,810",n.a.,269,276,280,279,273,275,284,290,301
185.,INEOS Solvents Germany GmbH,ROEMERSTR. 733,MOERS,Germany,2000,n.a.,n.a.,326,225,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,479,507,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
476.,INEOS Styrenics GmbH,PAUL-BAUMANN-STR. 1,MARL,Germany,2059,n.a.,n.a.,24,26,28,90,200,365,58,n.a.,n.a.,n.a.,50,65,72,98,117,114,n.a.,n.a.
919.,Infiana Germany GmbH & Co. KG,ZWEIBRUECKENSTR. 15 - 25,FORCHHEIM,Germany,2221,n.a.,n.a.,n.a.,135,127,0,n.a.,n.a.,n.a.,n.a.,630,630,630,630,630,630,n.a.,n.a.,n.a.,n.a.
572.,Infineon Technologies AG,,,Sweden,4652,n.a.,n.a.,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
793.,Infineon Technologies Dresden GmbH,KOENIGSBRUECKER STR. 180,DRESDEN,Germany,2611,n.a.,n.a.,n.a.,n.a.,n.a.,386,330,n.a.,n.a.,n.a.,"2,000","2,000","2,000","2,000","2,000","1,997","1,870",n.a.,n.a.,n.a.
111.,infra fürth gmbh,Leyher Str. 69,Fuerth,Germany,8299,n.a.,n.a.,180,179,188,184,163,166,162,155,n.a.,n.a.,257,259,257,248,236,250,232,239
213.,InfraLeuna GmbH,AM HAUPTTOR,LEUNA,Germany,3511,n.a.,n.a.,271,292,341,340,216,211,180,222,n.a.,n.a.,620,633,649,640,472,457,450,439
359.,INFRAREAL GMBH,EMIL-VON-BEHRING-STR. 76,MARBURG,Germany,7010,n.a.,n.a.,82,78,76,74,70,71,72,64,n.a.,n.a.,408,400,401,396,392,391,395,373
221.,Infraserv GmbH & Co. Gendorf KG,INDUSTRIEPARKSTR. 1,BURGKIRCHEN,Germany,3511,n.a.,262,253,253,264,258,275,n.a.,n.a.,n.a.,n.a.,"1,086","1,085","1,093","1,071","1,026",968,n.a.,n.a.,n.a.
97.,Infraserv GmbH & Co. Höchst KG,INDUSTRIEPARK HOECHST GEB.: C770,FRANKFURT AM MAIN,Germany,6820,n.a.,871,985,970,870,999,"1,074","1,111","1,102",977,n.a.,"1,829","1,854","1,884","1,936","1,985","1,954","1,949","2,183","2,135"
271.,Infraserv GmbH und Co. Wiesbaden KG,KASTELER STR. 45,WIESBADEN,Germany,3511,n.a.,161,174,180,186,188,186,183,178,191,n.a.,726,731,750,761,744,749,774,774,781
224.,Ingredion Germany GmbH,GRUENER DEICH 110,HAMBURG,Germany,4638,n.a.,n.a.,245,235,230,214,194,187,157,200,n.a.,n.a.,274,271,267,215,201,177,197,250
118.,innogy Gas Storage NWE GmbH,Flamingoweg 1,Dortmund,Germany,3520,n.a.,n.a.,155,181,189,154,166,149,109,n.a.,n.a.,n.a.,75,75,77,61,57,48,13,n.a.
2.,innogy SE,Opernplatz 1,Essen,Germany,3512,n.a.,"42,209","44,004","44,023","46,579",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"40,465","38,602","39,633","42,505",n.a.,n.a.,n.a.,n.a.,n.a.
161.,INOVYN Deutschland GmbH,LUDWIGSTR. 12,RHEINBERG,Germany,4675,n.a.,n.a.,391,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,400,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
681.,INTERFACE Performance Materials Altenkirchen GmbH,KOBLENZER STR. 3,ALMERSBACH,Germany,1712,n.a.,n.a.,n.a.,20,22,24,25,26,18,n.a.,n.a.,105,114,120,123,126,128,134,171,n.a.
603.,Intermap Technologies Inc.,8310 S VALLEY HWY,ENGLEWOOD,United States of America,0990,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
270.,INVISTA RESINS & FIBERS GMBH,PHILIPP-REIS-STR. 2,HATTERSHEIM,Germany,2016,n.a.,n.a.,157,185,263,316,393,338,274,600,n.a.,n.a.,187,214,321,353,356,360,503,674
537.,IPF Heizkraftwerksbetriebsgesellschaft mbH,BRENNECKESTR. 4 B,MAGDEBURG,Germany,3530,n.a.,n.a.,4,4,4,4,4,n.a.,n.a.,n.a.,n.a.,n.a.,7,7,7,7,n.a.,n.a.,n.a.,n.a.
598.,"Iran Air, The Airline of the Islamic Republic of Iran",,,Islamic Republic of Iran,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
744.,Iraqi Airways,,,,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
512.,ISE Information Systems Engineering GmbH,GEWERBEPARK HUELL 4,GRAEFENBERG,Germany,6202,n.a.,n.a.,10,10,10,8,8,n.a.,n.a.,n.a.,n.a.,n.a.,50,50,62,62,n.a.,n.a.,n.a.,n.a.
815.,ISP Marl GmbH,PAUL-BAUMANN-STR. 1,MARL,Germany,2013,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,230,230,230,234,234,235,233,n.a.,n.a.
722.,J. G. Knopf's Sohn GmbH & Co. KG,AUGUST-WAGNER-STR. 1,HELMBRECHTS,Germany,1330,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,149,162,169,179,189,191,199,214
347.,Jäckering Mühlen- und Nährmittelwerke GmbH,VORSTERHAUSER WEG 46,HAMM,Germany,1062,n.a.,n.a.,89,85,87,94,101,78,65,90,n.a.,n.a.,100,99,100,96,92,86,85,83
764.,Jacobi Tonwerke GmbH,OSTERODER STR. 2,BILSHAUSEN,Germany,2332,n.a.,n.a.,n.a.,n.a.,46,46,n.a.,n.a.,n.a.,n.a.,281,281,285,285,282,282,n.a.,n.a.,n.a.,n.a.
877.,JACOBS DOUWE EGBERTS DE GmbH,LANGEMARCKSTR. 4 -20,BREMEN,Germany,4637,n.a.,n.a.,n.a.,n.a.,84,51,15,n.a.,n.a.,n.a.,"1,332","1,359","1,369",67,58,40,1,n.a.,n.a.,n.a.
227.,job Jenaer Objektmanagement- und Betriebs GmbH,Rudolstaedter Str. 39,Jena,Germany,3530,n.a.,n.a.,21,21,22,21,21,20,21,18,n.a.,n.a.,7,6,5,4,5,5,n.a.,n.a.
502.,Johann Bergmann GmbH & Co,AZENDORF 63,KASENDORF,Germany,2352,n.a.,n.a.,14,16,16,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,59,58,56,57,53,55,51,49
586.,Johann Wolfgang Goethe-Universität Frankfurt,THEODOR-W.-ADORNO-PLATZ 1,FRANKFURT,Germany,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
6.,"Johnson Controls, Inc.","5757, NORTH GREEN BAY AVENUE",MILWAUKEE,United States of America,2720,n.a.,"33,031","33,187","30,795","27,505","31,403","30,240","25,136","19,461","26,611",n.a.,"154,000","139,000","168,000","170,000","170,000","162,000","137,000","130,000","140,000"
